split,group,group_value,num_examples,MAE,RMSE,R2
train,overall,overall,1156,0.0426015742123127,0.07026409761407215,0.9498392939567566
validation,overall,overall,165,0.047538191080093384,0.0874174334111095,0.914311408996582
test-interpolation,overall,overall,260,0.08908219635486603,0.15470086097813673,0.7661213278770447
test-extrapolation,overall,overall,1365,0.17338337004184723,0.23713546967556437,0.36909234523773193
train,domain,blocks,45,0.04047124460339546,0.04819958259187974,0.9782736301422119
train,domain,gripper,20,0.056026358157396317,0.07178323423128422,0.9560856819152832
train,domain,logistics,60,0.11422912776470184,0.1407892804072949,0.7904008030891418
train,domain,visitall-from-everywhere,1031,0.03826570510864258,0.06465849884546339,0.957273542881012
train,corruption_type,delete,221,0.047631923109292984,0.07483637278141811,0.9268798232078552
train,corruption_type,gold,232,0.027284720912575722,0.047861750160509475,-1.1350154876708984
train,corruption_type,insert,15,0.23675981163978577,0.3140721115615318,-0.4780137538909912
train,corruption_type,replace,231,0.04023749753832817,0.05353345156394192,0.9571154713630676
train,corruption_type,swap,226,0.05874759703874588,0.07701742842809677,0.8793492317199707
train,corruption_type,truncate,231,0.027132021263241768,0.04442392757620155,0.9692000150680542
validation,domain,blocks,15,0.060910120606422424,0.07246700143246729,0.9178962707519531
validation,domain,gripper,10,0.1408626288175583,0.1624184041388645,0.5858938097953796
validation,domain,logistics,20,0.13772711157798767,0.2038902941486318,0.4638635516166687
validation,domain,visitall-from-everywhere,120,0.023058176040649414,0.026910939149574674,0.9924708604812622
validation,corruption_type,delete,33,0.0460803359746933,0.07803483767085674,0.9244699478149414
validation,corruption_type,gold,33,0.04582942649722099,0.0696283808577352,0.0
validation,corruption_type,insert,2,0.5173056125640869,0.5240497140342588,-50.24623489379883
validation,corruption_type,replace,33,0.04947667941451073,0.06441996545040987,0.9328118562698364
validation,corruption_type,swap,31,0.0429053008556366,0.07405537580578107,0.9206889271736145
validation,corruption_type,truncate,33,0.02464769221842289,0.03640888400024642,0.9732772707939148
test-interpolation,domain,blocks,15,0.11938299983739853,0.17183520658371845,0.7292279601097107
test-interpolation,domain,gripper,15,0.09772923588752747,0.11901990840826691,0.7193295955657959
test-interpolation,domain,logistics,45,0.18639284372329712,0.26362155858068587,0.2546030282974243
test-interpolation,domain,visitall-from-everywhere,185,0.06225411593914032,0.11483669356640869,0.877109706401825
test-interpolation,corruption_type,delete,46,0.09661772847175598,0.16067095947858023,0.7096915245056152
test-interpolation,corruption_type,gold,52,0.04935747757554054,0.06887375222052015,0.0
test-interpolation,corruption_type,insert,13,0.3282749056816101,0.4375612352295997,-2.1767919063568115
test-interpolation,corruption_type,repeat,1,0.019799530506134033,0.019799530489536366,nan
test-interpolation,corruption_type,replace,48,0.08606857061386108,0.151341903789869,0.6423507928848267
test-interpolation,corruption_type,swap,48,0.08826208114624023,0.11420180504892431,0.7160205841064453
test-interpolation,corruption_type,truncate,52,0.06721390038728714,0.10501369571488638,0.8778314590454102
test-extrapolation,domain,blocks,100,0.10804189741611481,0.1714603993854134,0.7404661178588867
test-extrapolation,domain,gripper,80,0.39007076621055603,0.4531701986198142,-0.9546501636505127
test-extrapolation,domain,logistics,90,0.2793194651603699,0.3168544773363058,-0.006764054298400879
test-extrapolation,domain,visitall-from-everywhere,1095,0.1548125147819519,0.21013962882018045,0.4733535647392273
test-extrapolation,corruption_type,delete,273,0.1724359393119812,0.24394112637595455,0.18156349658966064
test-extrapolation,corruption_type,gold,273,0.17501774430274963,0.2245018328414516,0.0
test-extrapolation,corruption_type,insert,14,0.2823620140552521,0.33638564979141067,-0.8662453889846802
test-extrapolation,corruption_type,replace,273,0.15709243714809418,0.22803210594546697,0.30796337127685547
test-extrapolation,corruption_type,swap,259,0.1494305580854416,0.22554405451121984,0.28869181871414185
test-extrapolation,corruption_type,truncate,273,0.20612317323684692,0.2553330460572515,-1.4523987770080566
