split,group,group_value,num_examples,MAE,RMSE,R2
train,overall,overall,1156,0.05236615985631943,0.08748162791971832,0.922244668006897
validation,overall,overall,165,0.05042841285467148,0.09410252947882529,0.9007045030593872
test-interpolation,overall,overall,260,0.11580769717693329,0.19773319277189522,0.617911159992218
test-extrapolation,overall,overall,1365,0.1710592359304428,0.24809001937869365,0.3094560503959656
train,domain,blocks,45,0.060433629900217056,0.07487577504284675,0.9475696682929993
train,domain,gripper,20,0.08848809450864792,0.11078914037187536,0.8953945636749268
train,domain,logistics,60,0.11835382878780365,0.15168172703780786,0.7567141056060791
train,domain,visitall-from-everywhere,1031,0.047473106533288956,0.08221412324483199,0.9309222102165222
train,corruption_type,delete,221,0.06120549142360687,0.10148412174372388,0.8655354380607605
train,corruption_type,gold,232,0.026279442012310028,0.04564179539999981,-0.9415534734725952
train,corruption_type,insert,15,0.2855049669742584,0.3582628913697576,-0.9231951236724854
train,corruption_type,replace,231,0.04207560047507286,0.06318476438543386,0.9402586817741394
train,corruption_type,swap,226,0.07561147958040237,0.0964821666588359,0.81065833568573
train,corruption_type,truncate,231,0.04251864179968834,0.07013367721986595,0.9232338666915894
validation,domain,blocks,15,0.08806397020816803,0.10330514381848538,0.8331500291824341
validation,domain,gripper,10,0.08533114194869995,0.10688199579476024,0.8206710815429688
validation,domain,logistics,20,0.1647682934999466,0.23299638283668275,0.2998669743537903
validation,domain,visitall-from-everywhere,120,0.023758767172694206,0.02901994834722879,0.9912444949150085
validation,corruption_type,delete,33,0.04700649902224541,0.07267874156804202,0.9344824552536011
validation,corruption_type,gold,33,0.03738921508193016,0.05422997031861735,0.0
validation,corruption_type,insert,2,0.6020938754081726,0.6095345117187847,-68.32878875732422
validation,corruption_type,replace,33,0.044447362422943115,0.06325821368926612,0.9352133274078369
validation,corruption_type,swap,31,0.044852230697870255,0.06182086289718936,0.9447298049926758
validation,corruption_type,truncate,33,0.04467455670237541,0.07710012903213527,0.8801669478416443
test-interpolation,domain,blocks,15,0.10901138186454773,0.13411703076644826,0.8350518941879272
test-interpolation,domain,gripper,15,0.13723556697368622,0.17361197802539124,0.4028041958808899
test-interpolation,domain,logistics,45,0.19964860379695892,0.27919161753866445,0.16395336389541626
test-interpolation,domain,visitall-from-everywhere,185,0.0942276194691658,0.1791270367925181,0.7009949684143066
test-interpolation,corruption_type,delete,46,0.13029558956623077,0.20905227983979247,0.5085325241088867
test-interpolation,corruption_type,gold,52,0.08738474547863007,0.18156178106602266,0.0
test-interpolation,corruption_type,insert,13,0.43143999576568604,0.5317696105863267,-3.6920008659362793
test-interpolation,corruption_type,repeat,1,0.6227087378501892,0.6227087460624252,nan
test-interpolation,corruption_type,replace,48,0.08643967658281326,0.1346978832765317,0.7166909575462341
test-interpolation,corruption_type,swap,48,0.10930300503969193,0.13088831652677235,0.6269709467887878
test-interpolation,corruption_type,truncate,52,0.07587149739265442,0.11468920007427891,0.8542822003364563
test-extrapolation,domain,blocks,100,0.12464462965726852,0.17966339737494133,0.7150388956069946
test-extrapolation,domain,gripper,80,0.3402601182460785,0.4270761380713759,-0.7360290288925171
test-extrapolation,domain,logistics,90,0.27190783619880676,0.31161734382383893,0.026241600513458252
test-extrapolation,domain,visitall-from-everywhere,1095,0.1546473652124405,0.22906403067469,0.3742266893386841
test-extrapolation,corruption_type,delete,273,0.18879887461662292,0.27336517467380794,-0.027782797813415527
test-extrapolation,corruption_type,gold,273,0.08450620621442795,0.11182797884295279,0.0
test-extrapolation,corruption_type,insert,14,0.3733765482902527,0.4359018222333184,-2.1337993144989014
test-extrapolation,corruption_type,replace,273,0.17907968163490295,0.26380223477890524,0.07382291555404663
test-extrapolation,corruption_type,swap,259,0.182747945189476,0.2722725302259783,-0.03657972812652588
test-extrapolation,corruption_type,truncate,273,0.21038763225078583,0.2661631966069882,-1.6648516654968262
