split,group,group_value,num_examples,MAE,RMSE,R2
train,overall,overall,1156,0.05562078207731247,0.09276799135786518,0.9125635027885437
validation,overall,overall,165,0.06004705652594566,0.10644782789565535,0.8729424476623535
test-interpolation,overall,overall,260,0.12061044573783875,0.19983033195587535,0.6097633838653564
test-extrapolation,overall,overall,1365,0.17639878392219543,0.24243500583306835,0.3405780792236328
train,domain,blocks,45,0.0873633548617363,0.11386965982884056,0.8787403702735901
train,domain,gripper,20,0.08780380338430405,0.16093315123265703,0.7792752981185913
train,domain,logistics,60,0.15478211641311646,0.19140133559477002,0.6126171946525574
train,domain,visitall-from-everywhere,1031,0.04784021154046059,0.08030542527572522,0.9340924024581909
train,corruption_type,delete,221,0.050821635872125626,0.09385710796668467,0.8849872350692749
train,corruption_type,gold,232,0.04685758054256439,0.07463422044523915,-4.19158411026001
train,corruption_type,insert,15,0.23280659317970276,0.3208690785440091,-0.5426785945892334
train,corruption_type,replace,231,0.053329162299633026,0.0931055849113404,0.8702815771102905
train,corruption_type,swap,226,0.06667696684598923,0.08970356972542128,0.8363291025161743
train,corruption_type,truncate,231,0.048982445150613785,0.07627477176065409,0.9092016220092773
validation,domain,blocks,15,0.09368538856506348,0.11436522154750561,0.7955108880996704
validation,domain,gripper,10,0.19247175753116608,0.23279814355864192,0.14925330877304077
validation,domain,logistics,20,0.17899934947490692,0.22553131961596792,0.34401196241378784
validation,domain,visitall-from-everywhere,120,0.024981489405035973,0.030850434856776018,0.990105152130127
validation,corruption_type,delete,33,0.05104031041264534,0.08681206129119788,0.9065233469009399
validation,corruption_type,gold,33,0.08425552397966385,0.12925955732314415,0.0
validation,corruption_type,insert,2,0.37549519538879395,0.4236199355465704,-32.48649978637695
validation,corruption_type,replace,33,0.04697596654295921,0.09011184559976178,0.8685333132743835
validation,corruption_type,swap,31,0.05494753271341324,0.09031183687217423,0.8820466995239258
validation,corruption_type,truncate,33,0.04358880966901779,0.07585045048971875,0.8840200901031494
test-interpolation,domain,blocks,15,0.12570419907569885,0.15077999415887625,0.7915188074111938
test-interpolation,domain,gripper,15,0.21018192172050476,0.2680756892141262,-0.42387616634368896
test-interpolation,domain,logistics,45,0.2650720179080963,0.35074980367558506,-0.3195340633392334
test-interpolation,domain,visitall-from-everywhere,185,0.07779557257890701,0.13610866529498433,0.8273653984069824
test-interpolation,corruption_type,delete,46,0.14388787746429443,0.2510659025425593,0.29114001989364624
test-interpolation,corruption_type,gold,52,0.10706805437803268,0.17619286135161574,0.0
test-interpolation,corruption_type,insert,13,0.366699755191803,0.44999854365748937,-2.3599538803100586
test-interpolation,corruption_type,repeat,1,0.1569511890411377,0.15695118927129836,nan
test-interpolation,corruption_type,replace,48,0.09955272823572159,0.1591609815126043,0.6044402718544006
test-interpolation,corruption_type,swap,48,0.11072731018066406,0.1550911547186003,0.4762609601020813
test-interpolation,corruption_type,truncate,52,0.0799008160829544,0.12716509655694141,0.8208554983139038
test-extrapolation,domain,blocks,100,0.24192112684249878,0.3140489693948616,0.12931489944458008
test-extrapolation,domain,gripper,80,0.278692364692688,0.3237553467548378,0.002345263957977295
test-extrapolation,domain,logistics,90,0.3349560797214508,0.4261768498117242,-0.8213260173797607
test-extrapolation,domain,visitall-from-everywhere,1095,0.1499093770980835,0.20414211472654967,0.5029861927032471
test-extrapolation,corruption_type,delete,273,0.19639015197753906,0.2708868958009191,-0.009231805801391602
test-extrapolation,corruption_type,gold,273,0.1605558842420578,0.1993204306121908,0.0
test-extrapolation,corruption_type,insert,14,0.47809478640556335,0.542446928592636,-3.852978229522705
test-extrapolation,corruption_type,replace,273,0.18047896027565002,0.26497382399097136,0.06557810306549072
test-extrapolation,corruption_type,swap,259,0.1879754364490509,0.2614374071969623,0.04428046941757202
test-extrapolation,corruption_type,truncate,273,0.14171546697616577,0.1749860579182109,-0.1518181562423706
