split,group,group_value,num_examples,MAE,RMSE,R2
train,overall,overall,1156,0.06328614056110382,0.1060373862961822,0.8857609629631042
validation,overall,overall,165,0.06907496601343155,0.11931481681760432,0.8403695821762085
test-interpolation,overall,overall,260,0.10719721764326096,0.17671944006760676,0.6948075294494629
test-extrapolation,overall,overall,1365,0.21282368898391724,0.26478446476944467,0.21339315176010132
train,domain,blocks,45,0.08278091996908188,0.10360540239613665,0.8996158838272095
train,domain,gripper,20,0.1392824649810791,0.2087545646522472,0.6286085844039917
train,domain,logistics,60,0.14801861345767975,0.19345165709300732,0.6042733192443848
train,domain,visitall-from-everywhere,1031,0.05602994188666344,0.09547453946260721,0.9068418741226196
train,corruption_type,delete,221,0.07044567167758942,0.122667894600319,0.8035402894020081
train,corruption_type,gold,232,0.0468740314245224,0.06566978995235022,-3.019343852996826
train,corruption_type,insert,15,0.26465532183647156,0.347473299986997,-0.8091001510620117
train,corruption_type,replace,231,0.056460797786712646,0.09653693072811705,0.8605440855026245
train,corruption_type,swap,226,0.08522696048021317,0.11766574943487676,0.7183873653411865
train,corruption_type,truncate,231,0.04520322009921074,0.0826805479386452,0.8933101892471313
validation,domain,blocks,15,0.18458594381809235,0.21293311613713414,0.29112672805786133
validation,domain,gripper,10,0.20078392326831818,0.23749929070366801,0.11454623937606812
validation,domain,logistics,20,0.14026780426502228,0.21535825677794643,0.4018567204475403
validation,domain,visitall-from-everywhere,120,0.031794872134923935,0.03842672385470897,0.9846484065055847
validation,corruption_type,delete,33,0.0653516873717308,0.09310070338536648,0.892490029335022
validation,corruption_type,gold,33,0.07310014963150024,0.11195294402135156,0.0
validation,corruption_type,insert,2,0.586471438407898,0.5925521814731212,-64.51943969726562
validation,corruption_type,replace,33,0.05991750955581665,0.07189341651240903,0.9163183569908142
validation,corruption_type,swap,31,0.054932232946157455,0.10803216621698968,0.8312177658081055
validation,corruption_type,truncate,33,0.05985875055193901,0.11210154529305284,0.7466682195663452
test-interpolation,domain,blocks,15,0.14297732710838318,0.16334789047846562,0.7553154230117798
test-interpolation,domain,gripper,15,0.13647884130477905,0.16163874296417421,0.48233556747436523
test-interpolation,domain,logistics,45,0.19253474473953247,0.2751442233029115,0.18801772594451904
test-interpolation,domain,visitall-from-everywhere,185,0.0811641663312912,0.14558173868292762,0.8024986982345581
test-interpolation,corruption_type,delete,46,0.1347069889307022,0.23836872183779248,0.36102551221847534
test-interpolation,corruption_type,gold,52,0.07976436614990234,0.10568575698057027,0.0
test-interpolation,corruption_type,insert,13,0.3213576674461365,0.4264962029550806,-2.0181541442871094
test-interpolation,corruption_type,repeat,1,0.10849893093109131,0.10849893052918866,nan
test-interpolation,corruption_type,replace,48,0.09866011142730713,0.1618380286366839,0.5910218954086304
test-interpolation,corruption_type,swap,48,0.10179078578948975,0.12487896259734609,0.6604377031326294
test-interpolation,corruption_type,truncate,52,0.06960033625364304,0.10218943526246578,0.8843142986297607
test-extrapolation,domain,blocks,100,0.3013385832309723,0.3482624512327183,-0.07072925567626953
test-extrapolation,domain,gripper,80,0.3524780869483948,0.3962333523475251,-0.4943366050720215
test-extrapolation,domain,logistics,90,0.297589510679245,0.33090136643240287,-0.0980069637298584
test-extrapolation,domain,visitall-from-everywhere,1095,0.1875700056552887,0.23633018997172964,0.3338966369628906
test-extrapolation,corruption_type,delete,273,0.19474579393863678,0.2464045650809185,0.16495007276535034
test-extrapolation,corruption_type,gold,273,0.2165178656578064,0.25449546524946653,0.0
test-extrapolation,corruption_type,insert,14,0.31108543276786804,0.3661739483272649,-1.21140718460083
test-extrapolation,corruption_type,replace,273,0.18826501071453094,0.24318258375847063,0.21295052766799927
test-extrapolation,corruption_type,swap,259,0.1744130253791809,0.23217820770183334,0.2462315559387207
test-extrapolation,corruption_type,truncate,273,0.28316789865493774,0.32850383279254064,-3.0593628883361816
