split,group,group_value,num_examples,positive_rate,accuracy,balanced_accuracy,auroc,auprc,f1,precision,recall,tn,fp,fn,tp
train,overall,overall,1156,0.19982698961937717,0.990484429065744,0.9940540540540541,0.9989750789750791,0.9954389062229814,0.9767441860465116,0.9545454545454546,1.0,914,11,0,231
validation,overall,overall,165,0.2,0.9757575757575757,0.9848484848484849,0.9947199265381084,0.978421716838139,0.9428571428571428,0.8918918918918919,1.0,128,4,0,33
test-interpolation,overall,overall,260,0.2,0.9576923076923077,0.9447115384615385,0.9585798816568047,0.9232850943403241,0.897196261682243,0.8727272727272727,0.9230769230769231,201,7,4,48
test-extrapolation,overall,overall,1365,0.2,0.810989010989011,0.5315934065934066,0.5649965114250828,0.40911646993139406,0.12244897959183673,0.8571428571428571,0.06593406593406594,1089,3,255,18
train,domain,blocks,45,0.2,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,36,0,0,9
train,domain,gripper,20,0.2,0.95,0.96875,1.0,1.0,0.8888888888888888,0.8,1.0,15,1,0,4
train,domain,logistics,60,0.2,0.9333333333333333,0.9583333333333333,0.9947916666666666,0.9811507936507936,0.8571428571428571,0.75,1.0,44,4,0,12
train,domain,visitall-from-everywhere,1031,0.19980601357904948,0.9941804073714839,0.9963636363636363,0.9993056781406295,0.9969680266219116,0.9856459330143541,0.9716981132075472,1.0,819,6,0,206
train,corruption_type,delete,221,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,221,0,0,0
train,corruption_type,gold,232,0.9956896551724138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,231
train,corruption_type,insert,15,0.0,0.26666666666666666,nan,nan,nan,0.0,0.0,0.0,4,11,0,0
train,corruption_type,replace,231,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,231,0,0,0
train,corruption_type,swap,226,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,226,0,0,0
train,corruption_type,truncate,231,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,231,0,0,0
validation,domain,blocks,15,0.2,0.9333333333333333,0.9583333333333333,1.0,1.0,0.8571428571428571,0.75,1.0,11,1,0,3
validation,domain,gripper,10,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,0,2
validation,domain,logistics,20,0.2,0.85,0.90625,0.96875,0.8875,0.7272727272727273,0.5714285714285714,1.0,13,3,0,4
validation,domain,visitall-from-everywhere,120,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96,0,0,24
validation,corruption_type,delete,33,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,33,0,0,0
validation,corruption_type,gold,33,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,0,0,0,33
validation,corruption_type,insert,2,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0,2,0,0
validation,corruption_type,replace,33,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,33,0,0,0
validation,corruption_type,swap,31,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,31,0,0,0
validation,corruption_type,truncate,33,0.0,0.9393939393939394,nan,nan,nan,0.0,0.0,0.0,31,2,0,0
test-interpolation,domain,blocks,15,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,0,0,3
test-interpolation,domain,gripper,15,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,0,0,3
test-interpolation,domain,logistics,45,0.2,0.8666666666666667,0.9166666666666667,0.962962962962963,0.8066017316017315,0.75,0.6,1.0,30,6,0,9
test-interpolation,domain,visitall-from-everywhere,185,0.2,0.972972972972973,0.9425675675675675,0.9623813002191381,0.9294161603371258,0.9295774647887324,0.9705882352941176,0.8918918918918919,147,1,4,33
test-interpolation,corruption_type,delete,46,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,46,0,0,0
test-interpolation,corruption_type,gold,52,1.0,0.9230769230769231,nan,nan,nan,0.96,1.0,0.9230769230769231,0,0,4,48
test-interpolation,corruption_type,insert,13,0.0,0.5384615384615384,nan,nan,nan,0.0,0.0,0.0,7,6,0,0
test-interpolation,corruption_type,repeat,1,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,1,0,0,0
test-interpolation,corruption_type,replace,48,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,48,0,0,0
test-interpolation,corruption_type,swap,48,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,48,0,0,0
test-interpolation,corruption_type,truncate,52,0.0,0.9807692307692307,nan,nan,nan,0.0,0.0,0.0,51,1,0,0
test-extrapolation,domain,blocks,100,0.2,0.92,0.8187500000000001,0.9868750000000001,0.9506130631064844,0.7647058823529411,0.9285714285714286,0.65,79,1,7,13
test-extrapolation,domain,gripper,80,0.2,0.8125,0.53125,0.9833984375,0.889250802302273,0.11764705882352941,1.0,0.0625,64,0,15,1
test-extrapolation,domain,logistics,90,0.2,0.8,0.5416666666666666,0.6844135802469136,0.44524505357475064,0.18181818181818182,0.5,0.1111111111111111,70,2,16,2
test-extrapolation,domain,visitall-from-everywhere,1095,0.2,0.8018264840182648,0.504566210045662,0.521191697420821,0.4085809507459424,0.01809954751131222,1.0,0.0091324200913242,876,0,217,2
test-extrapolation,corruption_type,delete,273,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,273,0,0,0
