split,group,group_value,num_examples,positive_rate,accuracy,balanced_accuracy,auroc,auprc,f1,precision,recall,tn,fp,fn,tp
train,overall,overall,1156,0.19982698961937717,0.9870242214532872,0.991891891891892,0.9991248391248392,0.9963160104708928,0.9685534591194969,0.9390243902439024,1.0,910,15,0,231
validation,overall,overall,165,0.2,0.9696969696969697,0.9583333333333334,0.997245179063361,0.9900812077845571,0.9253731343283582,0.9117647058823529,0.9393939393939394,129,3,2,31
test-interpolation,overall,overall,260,0.2,0.926923076923077,0.9038461538461539,0.9677329881656804,0.9152045099316706,0.8256880733944955,0.7894736842105263,0.8653846153846154,196,12,7,45
test-extrapolation,overall,overall,1365,0.2,0.8278388278388278,0.6135531135531136,0.895664774785654,0.6585457994940389,0.37333333333333335,0.6862745098039216,0.2564102564102564,1060,32,203,70
train,domain,blocks,45,0.2,0.9111111111111111,0.9444444444444444,1.0,1.0000000000000002,0.8181818181818182,0.6923076923076923,1.0,32,4,0,9
train,domain,gripper,20,0.2,0.85,0.90625,0.984375,0.95,0.7272727272727273,0.5714285714285714,1.0,13,3,0,4
train,domain,logistics,60,0.2,0.9333333333333333,0.9583333333333333,0.984375,0.9288991101491101,0.8571428571428571,0.75,1.0,44,4,0,12
train,domain,visitall-from-everywhere,1031,0.19980601357904948,0.9961202715809894,0.9975757575757576,0.9997587525742866,0.9989329630785713,0.9903846153846154,0.9809523809523809,1.0,821,4,0,206
train,corruption_type,delete,221,0.0,0.9864253393665159,nan,nan,nan,0.0,0.0,0.0,218,3,0,0
train,corruption_type,gold,232,0.9956896551724138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,231
train,corruption_type,insert,15,0.0,0.4,nan,nan,nan,0.0,0.0,0.0,6,9,0,0
train,corruption_type,replace,231,0.0,0.9956709956709957,nan,nan,nan,0.0,0.0,0.0,230,1,0,0
train,corruption_type,swap,226,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,226,0,0,0
train,corruption_type,truncate,231,0.0,0.9913419913419913,nan,nan,nan,0.0,0.0,0.0,229,2,0,0
validation,domain,blocks,15,0.2,0.8666666666666667,0.6666666666666666,1.0,1.0,0.5,1.0,0.3333333333333333,12,0,2,1
validation,domain,gripper,10,0.2,0.9,0.9375,1.0,1.0,0.8,0.6666666666666666,1.0,7,1,0,2
validation,domain,logistics,20,0.2,0.9,0.9375,1.0,1.0,0.8,0.6666666666666666,1.0,14,2,0,4
validation,domain,visitall-from-everywhere,120,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96,0,0,24
validation,corruption_type,delete,33,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,33,0,0,0
validation,corruption_type,gold,33,1.0,0.9393939393939394,nan,nan,nan,0.96875,1.0,0.9393939393939394,0,0,2,31
validation,corruption_type,insert,2,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0,2,0,0
validation,corruption_type,replace,33,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,33,0,0,0
validation,corruption_type,swap,31,0.0,0.967741935483871,nan,nan,nan,0.0,0.0,0.0,30,1,0,0
validation,corruption_type,truncate,33,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,33,0,0,0
test-interpolation,domain,blocks,15,0.2,0.9333333333333333,0.8333333333333333,1.0,1.0,0.8,1.0,0.6666666666666666,12,0,1,2
test-interpolation,domain,gripper,15,0.2,0.6666666666666666,0.7916666666666667,1.0,1.0,0.5454545454545454,0.375,1.0,7,5,0,3
test-interpolation,domain,logistics,45,0.2,0.8444444444444444,0.8611111111111112,0.9043209876543209,0.608116834432624,0.6956521739130435,0.5714285714285714,0.8888888888888888,30,6,1,8
test-interpolation,domain,visitall-from-everywhere,185,0.2,0.9675675675675676,0.9290540540540541,0.9873995617238861,0.9631595865363901,0.9142857142857143,0.9696969696969697,0.8648648648648649,147,1,5,32
test-interpolation,corruption_type,delete,46,0.0,0.9782608695652174,nan,nan,nan,0.0,0.0,0.0,45,1,0,0
test-interpolation,corruption_type,gold,52,1.0,0.8653846153846154,nan,nan,nan,0.9278350515463918,1.0,0.8653846153846154,0,0,7,45
test-interpolation,corruption_type,insert,13,0.0,0.6153846153846154,nan,nan,nan,0.0,0.0,0.0,8,5,0,0
test-interpolation,corruption_type,repeat,1,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,1,0,0,0
test-interpolation,corruption_type,replace,48,0.0,0.9375,nan,nan,nan,0.0,0.0,0.0,45,3,0,0
test-interpolation,corruption_type,swap,48,0.0,0.9791666666666666,nan,nan,nan,0.0,0.0,0.0,47,1,0,0
test-interpolation,corruption_type,truncate,52,0.0,0.9615384615384616,nan,nan,nan,0.0,0.0,0.0,50,2,0,0
test-extrapolation,domain,blocks,100,0.2,0.91,0.83125,0.9762500000000001,0.8976510881058937,0.7567567567567568,0.8235294117647058,0.7,77,3,6,14
test-extrapolation,domain,gripper,80,0.2,0.7875,0.8671875,0.984375,0.8755099934787436,0.6530612244897959,0.48484848484848486,1.0,47,17,0,16
test-extrapolation,domain,logistics,90,0.2,0.8111111111111111,0.5902777777777778,0.798611111111111,0.510296709277887,0.32,0.5714285714285714,0.2222222222222222,69,3,14,4
test-extrapolation,domain,visitall-from-everywhere,1095,0.2,0.8246575342465754,0.577054794520548,0.8991680740601738,0.66149508441877,0.2727272727272727,0.8,0.1643835616438356,867,9,183,36
