split,group,group_value,num_examples,positive_rate,accuracy,balanced_accuracy,auroc,auprc,f1,precision,recall,tn,fp,fn,tp
train,overall,overall,1156,0.19982698961937717,0.9818339100346021,0.9854007254007253,0.9990218790218791,0.9960570860646103,0.9561586638830898,0.9233870967741935,0.9913419913419913,906,19,2,229
validation,overall,overall,165,0.2,0.9151515151515152,0.9242424242424243,0.9880624426078971,0.9651260154013412,0.8157894736842105,0.7209302325581395,0.9393939393939394,120,12,2,31
test-interpolation,overall,overall,260,0.2,0.9038461538461539,0.875,0.9550665680473372,0.8981001614352278,0.7747747747747747,0.7288135593220338,0.8269230769230769,192,16,9,43
test-extrapolation,overall,overall,1365,0.2,0.6842490842490843,0.6927655677655677,0.797367467697138,0.500855162379286,0.4724602203182375,0.3547794117647059,0.706959706959707,741,351,80,193
train,domain,blocks,45,0.2,0.9777777777777777,0.9861111111111112,1.0,1.0000000000000002,0.9473684210526315,0.9,1.0,35,1,0,9
train,domain,gripper,20,0.2,0.85,0.90625,1.0,1.0,0.7272727272727273,0.5714285714285714,1.0,13,3,0,4
train,domain,logistics,60,0.2,0.7833333333333333,0.8020833333333334,0.8854166666666666,0.6562988575919609,0.6060606060606061,0.47619047619047616,0.8333333333333334,37,11,2,10
train,domain,visitall-from-everywhere,1031,0.19980601357904948,0.9961202715809894,0.9975757575757576,0.9997528684907325,0.9989249467113799,0.9903846153846154,0.9809523809523809,1.0,821,4,0,206
train,corruption_type,delete,221,0.0,0.9773755656108597,nan,nan,nan,0.0,0.0,0.0,216,5,0,0
train,corruption_type,gold,232,0.9956896551724138,0.9913793103448276,0.9956709956709957,1.0,1.0,0.9956521739130435,1.0,0.9913419913419913,1,0,2,229
train,corruption_type,insert,15,0.0,0.6,nan,nan,nan,0.0,0.0,0.0,9,6,0,0
train,corruption_type,replace,231,0.0,0.987012987012987,nan,nan,nan,0.0,0.0,0.0,228,3,0,0
train,corruption_type,swap,226,0.0,0.995575221238938,nan,nan,nan,0.0,0.0,0.0,225,1,0,0
train,corruption_type,truncate,231,0.0,0.9826839826839827,nan,nan,nan,0.0,0.0,0.0,227,4,0,0
validation,domain,blocks,15,0.2,0.8,0.875,1.0,1.0,0.6666666666666666,0.5,1.0,9,3,0,3
validation,domain,gripper,10,0.2,0.8,0.6875,0.9375,0.8333333333333333,0.5,0.5,0.5,7,1,1,1
validation,domain,logistics,20,0.2,0.55,0.625,0.71875,0.3571428571428571,0.4,0.2727272727272727,0.75,8,8,1,3
validation,domain,visitall-from-everywhere,120,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96,0,0,24
validation,corruption_type,delete,33,0.0,0.9696969696969697,nan,nan,nan,0.0,0.0,0.0,32,1,0,0
validation,corruption_type,gold,33,1.0,0.9393939393939394,nan,nan,nan,0.96875,1.0,0.9393939393939394,0,0,2,31
validation,corruption_type,insert,2,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0,2,0,0
validation,corruption_type,replace,33,0.0,0.8484848484848485,nan,nan,nan,0.0,0.0,0.0,28,5,0,0
validation,corruption_type,swap,31,0.0,0.9354838709677419,nan,nan,nan,0.0,0.0,0.0,29,2,0,0
validation,corruption_type,truncate,33,0.0,0.9393939393939394,nan,nan,nan,0.0,0.0,0.0,31,2,0,0
test-interpolation,domain,blocks,15,0.2,0.9333333333333333,0.9583333333333333,1.0,1.0,0.8571428571428571,0.75,1.0,11,1,0,3
test-interpolation,domain,gripper,15,0.2,0.8,0.5,0.888888888888889,0.5888888888888889,0.0,0.0,0.0,12,0,3,0
test-interpolation,domain,logistics,45,0.2,0.6444444444444445,0.6944444444444444,0.7623456790123456,0.4591475485632574,0.4666666666666667,0.3333333333333333,0.7777777777777778,22,14,2,7
test-interpolation,domain,visitall-from-everywhere,185,0.2,0.972972972972973,0.9425675675675675,0.9857560262965669,0.961706549941844,0.9295774647887324,0.9705882352941176,0.8918918918918919,147,1,4,33
test-interpolation,corruption_type,delete,46,0.0,0.9130434782608695,nan,nan,nan,0.0,0.0,0.0,42,4,0,0
test-interpolation,corruption_type,gold,52,1.0,0.8269230769230769,nan,nan,nan,0.9052631578947369,1.0,0.8269230769230769,0,0,9,43
test-interpolation,corruption_type,insert,13,0.0,0.6153846153846154,nan,nan,nan,0.0,0.0,0.0,8,5,0,0
test-interpolation,corruption_type,repeat,1,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,1,0,0,0
test-interpolation,corruption_type,replace,48,0.0,0.9583333333333334,nan,nan,nan,0.0,0.0,0.0,46,2,0,0
test-interpolation,corruption_type,swap,48,0.0,0.9583333333333334,nan,nan,nan,0.0,0.0,0.0,46,2,0,0
test-interpolation,corruption_type,truncate,52,0.0,0.9423076923076923,nan,nan,nan,0.0,0.0,0.0,49,3,0,0
test-extrapolation,domain,blocks,100,0.2,0.9,0.7875,0.93625,0.834059053868436,0.7058823529411765,0.8571428571428571,0.6,78,2,8,12
test-extrapolation,domain,gripper,80,0.2,0.8125,0.5546875,0.830078125,0.5284399440649441,0.21052631578947367,0.6666666666666666,0.125,63,1,14,2
test-extrapolation,domain,logistics,90,0.2,0.3,0.5625,0.6697530864197531,0.3059682344773958,0.36363636363636365,0.2222222222222222,1.0,9,63,0,18
test-extrapolation,domain,visitall-from-everywhere,1095,0.2,0.6867579908675799,0.7049086757990868,0.8111955547215446,0.5043875965425174,0.4842105263157895,0.3609865470852018,0.7351598173515982,591,285,58,161
test-extrapolation,corruption_type,delete,273,0.0,0.6227106227106227,nan,nan,nan,0.0,0.0,0.0,170,103,0,0
test-extrapolation,corruption_type,gold,273,1.0,0.706959706959707,nan,nan,nan,0.8283261802575107,1.0,0.706959706959707,0,0,80,193
test-extrapolation,corruption_type,insert,14,0.0,0.14285714285714285,nan,nan,nan,0.0,0.0,0.0,2,12,0,0
test-extrapolation,corruption_type,replace,273,0.0,0.63003663003663,nan,nan,nan,0.0,0.0,0.0,172,101,0,0
test-extrapolation,corruption_type,swap,259,0.0,0.61003861003861,nan,nan,nan,0.0,0.0,0.0,158,101,0,0
test-extrapolation,corruption_type,truncate,273,0.0,0.8754578754578755,nan,nan,nan,0.0,0.0,0.0,239,34,0,0
