split,group,group_value,num_examples,positive_rate,accuracy,balanced_accuracy,auroc,auprc,f1,precision,recall,tn,fp,fn,tp
train,overall,overall,1156,0.19982698961937717,0.986159169550173,0.9913513513513513,0.999012519012519,0.9958925656297837,0.9665271966527197,0.9352226720647774,1.0,909,16,0,231
validation,overall,overall,165,0.2,0.9757575757575757,0.9621212121212122,0.9981634527089073,0.9930407975862521,0.9393939393939394,0.9393939393939394,0.9393939393939394,130,2,2,31
test-interpolation,overall,overall,260,0.2,0.9692307692307692,0.9735576923076923,0.9930658284023668,0.9698185040794158,0.9272727272727272,0.8793103448275862,0.9807692307692307,201,7,1,51
test-extrapolation,overall,overall,1365,0.2,0.8380952380952381,0.5952380952380952,0.9007902963946921,0.6984767831501953,0.32,1.0,0.19047619047619047,1092,0,221,52
train,domain,blocks,45,0.2,0.9111111111111111,0.9444444444444444,1.0,1.0000000000000002,0.8181818181818182,0.6923076923076923,1.0,32,4,0,9
train,domain,gripper,20,0.2,0.95,0.96875,0.984375,0.95,0.8888888888888888,0.8,1.0,15,1,0,4
train,domain,logistics,60,0.2,0.8833333333333333,0.9270833333333333,0.9548611111111112,0.8302063132945485,0.7741935483870968,0.631578947368421,1.0,41,7,0,12
train,domain,visitall-from-everywhere,1031,0.19980601357904948,0.9961202715809894,0.9975757575757576,0.9997528684907326,0.9989376424186182,0.9903846153846154,0.9809523809523809,1.0,821,4,0,206
train,corruption_type,delete,221,0.0,0.9909502262443439,nan,nan,nan,0.0,0.0,0.0,219,2,0,0
train,corruption_type,gold,232,0.9956896551724138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,231
train,corruption_type,insert,15,0.0,0.4,nan,nan,nan,0.0,0.0,0.0,6,9,0,0
train,corruption_type,replace,231,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,231,0,0,0
train,corruption_type,swap,226,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,226,0,0,0
train,corruption_type,truncate,231,0.0,0.9783549783549783,nan,nan,nan,0.0,0.0,0.0,226,5,0,0
validation,domain,blocks,15,0.2,0.8666666666666667,0.6666666666666666,1.0,1.0,0.5,1.0,0.3333333333333333,12,0,2,1
validation,domain,gripper,10,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,0,2
validation,domain,logistics,20,0.2,0.9,0.9375,1.0,1.0,0.8,0.6666666666666666,1.0,14,2,0,4
validation,domain,visitall-from-everywhere,120,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96,0,0,24
validation,corruption_type,delete,33,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,33,0,0,0
validation,corruption_type,gold,33,1.0,0.9393939393939394,nan,nan,nan,0.96875,1.0,0.9393939393939394,0,0,2,31
validation,corruption_type,insert,2,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0,2,0,0
validation,corruption_type,replace,33,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,33,0,0,0
validation,corruption_type,swap,31,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,31,0,0,0
validation,corruption_type,truncate,33,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,33,0,0,0
test-interpolation,domain,blocks,15,0.2,0.9333333333333333,0.8333333333333333,1.0,1.0,0.8,1.0,0.6666666666666666,12,0,1,2
test-interpolation,domain,gripper,15,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,0,0,3
test-interpolation,domain,logistics,45,0.2,0.8666666666666667,0.9166666666666667,0.941358024691358,0.7544363044363045,0.75,0.6,1.0,30,6,0,9
test-interpolation,domain,visitall-from-everywhere,185,0.2,0.9945945945945946,0.9966216216216216,0.9983564645726808,0.9929510463179194,0.9866666666666667,0.9736842105263158,1.0,147,1,0,37
test-interpolation,corruption_type,delete,46,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,46,0,0,0
test-interpolation,corruption_type,gold,52,1.0,0.9807692307692307,nan,nan,nan,0.9902912621359223,1.0,0.9807692307692307,0,0,1,51
