method,family,seed,split,num_examples,MAE,RMSE,R2
MeanBaseline,baseline,13,train,1156,0.27086251974105835,0.3137268897014334,0.0
PlanLengthBaseline,baseline,13,train,1156,0.26709264516830444,0.30685849559088213,0.04330646991729736
MeanBaseline,baseline,13,validation,165,0.25500011444091797,0.3010807156673816,-0.01646566390991211
PlanLengthBaseline,baseline,13,validation,165,0.2627691626548767,0.3116437984409214,-0.08903992176055908
MeanBaseline,baseline,13,test-interpolation,260,0.2772026062011719,0.32028098067608124,-0.002460956573486328
PlanLengthBaseline,baseline,13,test-interpolation,260,0.263913631439209,0.30629782741145384,0.08316117525100708
MeanBaseline,baseline,13,test-extrapolation,1365,0.26280733942985535,0.30301796950587584,-0.03017139434814453
PlanLengthBaseline,baseline,13,test-extrapolation,1365,0.551344633102417,0.6413091402500242,-3.61431884765625
MeanBaseline,baseline,23,train,1156,0.27086251974105835,0.3137268897014334,0.0
PlanLengthBaseline,baseline,23,train,1156,0.26709264516830444,0.30685849559088213,0.04330646991729736
MeanBaseline,baseline,23,validation,165,0.25500011444091797,0.3010807156673816,-0.01646566390991211
PlanLengthBaseline,baseline,23,validation,165,0.2627691626548767,0.3116437984409214,-0.08903992176055908
MeanBaseline,baseline,23,test-interpolation,260,0.2772026062011719,0.32028098067608124,-0.002460956573486328
PlanLengthBaseline,baseline,23,test-interpolation,260,0.263913631439209,0.30629782741145384,0.08316117525100708
MeanBaseline,baseline,23,test-extrapolation,1365,0.26280733942985535,0.30301796950587584,-0.03017139434814453
PlanLengthBaseline,baseline,23,test-extrapolation,1365,0.551344633102417,0.6413091402500242,-3.61431884765625
MeanBaseline,baseline,37,train,1156,0.27086251974105835,0.3137268897014334,0.0
PlanLengthBaseline,baseline,37,train,1156,0.26709264516830444,0.30685849559088213,0.04330646991729736
MeanBaseline,baseline,37,validation,165,0.25500011444091797,0.3010807156673816,-0.01646566390991211
PlanLengthBaseline,baseline,37,validation,165,0.2627691626548767,0.3116437984409214,-0.08903992176055908
MeanBaseline,baseline,37,test-interpolation,260,0.2772026062011719,0.32028098067608124,-0.002460956573486328
PlanLengthBaseline,baseline,37,test-interpolation,260,0.263913631439209,0.30629782741145384,0.08316117525100708
MeanBaseline,baseline,37,test-extrapolation,1365,0.26280733942985535,0.30301796950587584,-0.03017139434814453
PlanLengthBaseline,baseline,37,test-extrapolation,1365,0.551344633102417,0.6413091402500242,-3.61431884765625
