method,family,split,num_runs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
corruption_type_diagnostic,diagnostic,test-extrapolation,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
corruption_type_diagnostic,diagnostic,test-interpolation,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
corruption_type_diagnostic,diagnostic,train,3,0.9991349480968857,1.1102230246251565e-16,0.9994594594594594,1.1102230246251565e-16,0.9994594594594594,1.1102230246251565e-16,0.9956896551724138,0.0,0.9978401727861771,0.0,0.9956896551724138,0.0,1.0,0.0
corruption_type_diagnostic,diagnostic,validation,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
majority,baseline,test-extrapolation,3,0.8000000000000002,1.1102230246251565e-16,0.5,0.0,0.5,0.0,0.20000000000000004,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
majority,baseline,test-interpolation,3,0.8000000000000002,1.1102230246251565e-16,0.5,0.0,0.5,0.0,0.20000000000000004,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
majority,baseline,train,3,0.8001730103806229,1.1102230246251565e-16,0.5,0.0,0.5,0.0,0.19982698961937717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
majority,baseline,validation,3,0.8000000000000002,1.1102230246251565e-16,0.5,0.0,0.5,0.0,0.20000000000000004,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
plan_length_logreg,baseline,test-extrapolation,3,0.7758241758241758,0.0,0.5,0.0,0.46193428061559927,0.0,0.18977191502425492,0.0,0.06707317073170732,0.0,0.20000000000000004,2.7755575615628914e-17,0.040293040293040296,0.0
plan_length_logreg,baseline,test-interpolation,3,0.5461538461538461,0.0,0.5649038461538461,0.0,0.5947670118343196,0.0,0.24805219802651077,2.7755575615628914e-17,0.3444444444444444,5.551115123125783e-17,0.2421875,0.0,0.5961538461538461,0.0
plan_length_logreg,baseline,train,3,0.45588235294117646,0.0,0.5674341874341875,0.0,0.6284661284661285,0.0,0.26553225280180404,0.0,0.35619242579324456,5.551115123125783e-17,0.23324396782841825,2.7755575615628914e-17,0.7532467532467533,0.0
plan_length_logreg,baseline,validation,3,0.3151515151515151,0.0,0.571969696969697,0.0,0.5694444444444444,0.0,0.247058952480306,0.0,0.3687150837988827,0.0,0.22602739726027396,0.0,1.0,0.0
