method,family,seed,split,num_examples,MAE,RMSE,R2
mlp,ad_lstm_wl_delta,13,train,1156,0.05883152782917023,0.09275471849822879,0.9125884771347046
mlp,ad_lstm_wl_delta,13,validation,165,0.06178577244281769,0.10379799531248499,0.8791894912719727
mlp,ad_lstm_wl_delta,13,test-interpolation,260,0.10149897634983063,0.16173948463717336,0.7443550229072571
mlp,ad_lstm_wl_delta,13,test-extrapolation,1365,0.20461197197437286,0.24840027872198933,0.3077278137207031
mlp,ad_lstm_wl_delta,23,train,1156,0.0426015742123127,0.07026409761407215,0.9498392939567566
mlp,ad_lstm_wl_delta,23,validation,165,0.047538191080093384,0.0874174334111095,0.914311408996582
mlp,ad_lstm_wl_delta,23,test-interpolation,260,0.08908219635486603,0.15470086097813673,0.7661213278770447
mlp,ad_lstm_wl_delta,23,test-extrapolation,1365,0.17338337004184723,0.23713546967556437,0.36909234523773193
mlp,ad_lstm_wl_delta,37,train,1156,0.04242398589849472,0.07230092810157777,0.9468890428543091
mlp,ad_lstm_wl_delta,37,validation,165,0.04419668763875961,0.09590427998539006,0.8968657851219177
mlp,ad_lstm_wl_delta,37,test-interpolation,260,0.08887345343828201,0.1556230005074553,0.7633247971534729
mlp,ad_lstm_wl_delta,37,test-extrapolation,1365,0.17662742733955383,0.26678774693793156,0.20144563913345337
mlp,ad_xgb_wl_delta,13,train,1156,0.05236615985631943,0.08748162791971832,0.922244668006897
mlp,ad_xgb_wl_delta,13,validation,165,0.05042841285467148,0.09410252947882529,0.9007045030593872
mlp,ad_xgb_wl_delta,13,test-interpolation,260,0.11580769717693329,0.19773319277189522,0.617911159992218
mlp,ad_xgb_wl_delta,13,test-extrapolation,1365,0.1710592359304428,0.24809001937869365,0.3094560503959656
mlp,ad_xgb_wl_delta,23,train,1156,0.0490572527050972,0.08260422372675717,0.9306732416152954
mlp,ad_xgb_wl_delta,23,validation,165,0.05122758820652962,0.09552432894507211,0.8976813554763794
mlp,ad_xgb_wl_delta,23,test-interpolation,260,0.10581451654434204,0.1792928570565202,0.6858543157577515
mlp,ad_xgb_wl_delta,23,test-extrapolation,1365,0.16614632308483124,0.23474101256522348,0.3817691206932068
mlp,ad_xgb_wl_delta,37,train,1156,0.07052113860845566,0.11478836011610044,0.8661272525787354
mlp,ad_xgb_wl_delta,37,validation,165,0.07171786576509476,0.12313452505287414,0.8299852609634399
mlp,ad_xgb_wl_delta,37,test-interpolation,260,0.1318226009607315,0.21536418129830773,0.5467350482940674
mlp,ad_xgb_wl_delta,37,test-extrapolation,1365,0.16546399891376495,0.24011710646481976,0.353127121925354
mlp,dd_lstm_shortest_path_delta,13,train,1156,0.05562078207731247,0.09276799135786518,0.9125635027885437
mlp,dd_lstm_shortest_path_delta,13,validation,165,0.06004705652594566,0.10644782789565535,0.8729424476623535
mlp,dd_lstm_shortest_path_delta,13,test-interpolation,260,0.12061044573783875,0.19983033195587535,0.6097633838653564
mlp,dd_lstm_shortest_path_delta,13,test-extrapolation,1365,0.17639878392219543,0.24243500583306835,0.3405780792236328
mlp,dd_lstm_shortest_path_delta,23,train,1156,0.04909474030137062,0.08295349419508599,0.9300857186317444
mlp,dd_lstm_shortest_path_delta,23,validation,165,0.062426935881376266,0.1042219214121283,0.8782006502151489
mlp,dd_lstm_shortest_path_delta,23,test-interpolation,260,0.10411401838064194,0.17428653792399124,0.7031528949737549
mlp,dd_lstm_shortest_path_delta,23,test-extrapolation,1365,0.17198242247104645,0.22686679728052855,0.42254966497421265
mlp,dd_lstm_shortest_path_delta,37,train,1156,0.06859737634658813,0.11215244838115412,0.8722049593925476
mlp,dd_lstm_shortest_path_delta,37,validation,165,0.07278084009885788,0.12448528607608328,0.826234757900238
mlp,dd_lstm_shortest_path_delta,37,test-interpolation,260,0.11247678101062775,0.1792699170260052,0.6859346628189087
mlp,dd_lstm_shortest_path_delta,37,test-extrapolation,1365,0.17321492731571198,0.23315358586227894,0.3901023864746094
mlp,dd_xgb_wl_delta,13,train,1156,0.06328614056110382,0.1060373862961822,0.8857609629631042
mlp,dd_xgb_wl_delta,13,validation,165,0.06907496601343155,0.11931481681760432,0.8403695821762085
mlp,dd_xgb_wl_delta,13,test-interpolation,260,0.10719721764326096,0.17671944006760676,0.6948075294494629
mlp,dd_xgb_wl_delta,13,test-extrapolation,1365,0.21282368898391724,0.26478446476944467,0.21339315176010132
mlp,dd_xgb_wl_delta,23,train,1156,0.060977328568696976,0.10363607776040022,0.8908764719963074
mlp,dd_xgb_wl_delta,23,validation,165,0.06683453917503357,0.12144987744978497,0.8346055150032043
mlp,dd_xgb_wl_delta,23,test-interpolation,260,0.10468807071447372,0.17641141047671396,0.6958705186843872
mlp,dd_xgb_wl_delta,23,test-extrapolation,1365,0.20263275504112244,0.25446014143979806,0.2735390067100525
mlp,dd_xgb_wl_delta,37,train,1156,0.07069704681634903,0.11475453447179762,0.8662061095237732
mlp,dd_xgb_wl_delta,37,validation,165,0.07342144101858139,0.1288832369405044,0.8137399554252625
mlp,dd_xgb_wl_delta,37,test-interpolation,260,0.11491607874631882,0.17974199629646742,0.6842783689498901
