method,family,split,num_runs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
corruption_type_diagnostic,diagnostic,test-extrapolation,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
corruption_type_diagnostic,diagnostic,test-interpolation,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
corruption_type_diagnostic,diagnostic,train,3,0.9991349480968857,1.1102230246251565e-16,0.9994594594594594,1.1102230246251565e-16,0.9994594594594594,1.1102230246251565e-16,0.9956896551724138,0.0,0.9978401727861771,0.0,0.9956896551724138,0.0,1.0,0.0
corruption_type_diagnostic,diagnostic,validation,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
majority,baseline,test-extrapolation,3,0.8000000000000002,1.1102230246251565e-16,0.5,0.0,0.5,0.0,0.20000000000000004,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
majority,baseline,test-interpolation,3,0.8000000000000002,1.1102230246251565e-16,0.5,0.0,0.5,0.0,0.20000000000000004,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
majority,baseline,train,3,0.8001730103806229,1.1102230246251565e-16,0.5,0.0,0.5,0.0,0.19982698961937717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
majority,baseline,validation,3,0.8000000000000002,1.1102230246251565e-16,0.5,0.0,0.5,0.0,0.20000000000000004,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
mlp_threshold_tuned_balanced_accuracy,ad_lstm_wl_delta,test-extrapolation,3,0.8178266178266179,0.005394559715353954,0.5482295482295482,0.012952472227885915,0.7857338530415454,0.15609415258708195,0.5818145750341172,0.1226492808537861,0.17748865250684312,0.0424623711559143,0.9021048698468053,0.036262372779474125,0.0989010989010989,0.025553662437675633
mlp_threshold_tuned_balanced_accuracy,ad_lstm_wl_delta,test-interpolation,3,0.9615384615384616,0.0031403714651066276,0.9471153846153847,0.0019627321656916423,0.9684418145956607,0.0069738482446819565,0.9369877665662348,0.009720490634550976,0.9057141177754827,0.006976843297456076,0.8890921796582174,0.013445652098116009,0.923076923076923,1.1102230246251565e-16
mlp_threshold_tuned_balanced_accuracy,ad_lstm_wl_delta,train,3,0.9927912341407151,0.0016311575113876254,0.9954954954954957,0.0010192530179265445,0.9994586794586796,0.00034880602307173377,0.997636990320265,0.001580425729557608,0.9822978132592849,0.003927007462334175,0.9652406417112299,0.007562639370979096,1.0,0.0
mlp_threshold_tuned_balanced_accuracy,ad_lstm_wl_delta,validation,3,0.9878787878787879,0.009896928253669425,0.9924242424242425,0.006185580158543373,0.9980104071013162,0.0023436475101183563,0.9919239471536637,0.009608611675599761,0.9711484593837535,0.02333183688846925,0.9449163449163449,0.04415896280876672,1.0,0.0
mlp_threshold_tuned_balanced_accuracy,ad_xgb_wl_delta,test-extrapolation,3,0.8117216117216118,0.030069370761843548,0.7097069597069597,0.09975452008749953,0.8940255918277896,0.012545576873764912,0.6467312859145014,0.05167522517674405,0.48599265842867273,0.14905000017277972,0.6775047956322857,0.2191086694444452,0.5396825396825397,0.30659046470060364
mlp_threshold_tuned_balanced_accuracy,ad_xgb_wl_delta,test-interpolation,3,0.9102564102564102,0.04411448854893657,0.9030448717948718,0.02454069363960506,0.9693355522682445,0.002398308241906327,0.9183726829420177,0.006986173129611616,0.8070331800981956,0.0775016815986513,0.7498118279569893,0.13585676304383,0.891025641025641,0.009065471553673706
mlp_threshold_tuned_balanced_accuracy,ad_xgb_wl_delta,train,3,0.9815455594002307,0.008717541209821773,0.9879271479271479,0.004920547488923461,0.9991419991419992,0.00021242387212309403,0.9964988027323488,0.0007977291468658285,0.9562409666776311,0.01971852063917196,0.9181550764461354,0.03732326411614493,0.9985569985569986,0.0020407122112165704
mlp_threshold_tuned_balanced_accuracy,ad_xgb_wl_delta,validation,3,0.9676767676767678,0.027254015279256645,0.9797979797979798,0.017033759549535437,0.9961738598102235,0.003641070478533927,0.987307699533781,0.011661590492047003,0.9289067739771966,0.05832311254811448,0.8728070175438596,0.10210918181423521,1.0,0.0
