MAE,RMSE,R2,family,model,split
0.039711497639033526,0.08092240712452145,0.9334674643531756,ad_xgb_wl_delta,RF,train
0.05254780946232031,0.09851515693927099,0.8911739389580422,ad_xgb_wl_delta,RF,validation
0.10106497367290988,0.16473414303503542,0.7348006615953908,ad_xgb_wl_delta,RF,test-interpolation
0.2898608131164751,0.37731900088464854,-0.5973131011278905,ad_xgb_wl_delta,RF,test-extrapolation
0.0075127617456018925,0.031330361081347305,0.9900269508361816,ad_xgb_wl_delta,XGB,train
0.061463646590709686,0.12470054146557143,0.8256332874298096,ad_xgb_wl_delta,XGB,validation
0.11381269246339798,0.1860621074868426,0.6616851687431335,ad_xgb_wl_delta,XGB,test-interpolation
0.32408714294433594,0.4255725103941333,-1.031982183456421,ad_xgb_wl_delta,XGB,test-extrapolation
0.05655735358595848,0.09748256974582517,0.9034504294395447,ad_xgb_wl_delta,MLP,train
0.05079841613769531,0.09858761119925737,0.8910138010978699,ad_xgb_wl_delta,MLP,validation
0.11562919616699219,0.1983355316489735,0.6155797839164734,ad_xgb_wl_delta,MLP,test-interpolation
0.1695089340209961,0.22745021018469075,0.41957592964172363,ad_xgb_wl_delta,MLP,test-extrapolation
