MAE,RMSE,R2,family,model,split
0.04928105237803545,0.09175473119204902,0.9144631162614509,ad_lstm_wl_delta,RF,train
0.0593158824168953,0.09965566308148165,0.8886396032768751,ad_lstm_wl_delta,RF,validation
0.10380868109018222,0.16273042065109578,0.7412128615121598,ad_lstm_wl_delta,RF,test-interpolation
0.26579337750748055,0.3452146984772495,-0.3370611180777121,ad_lstm_wl_delta,RF,test-extrapolation
0.00892940815538168,0.03151233465456511,0.9899107813835144,ad_lstm_wl_delta,XGB,train
0.059721339493989944,0.11632119486054765,0.8482794165611267,ad_lstm_wl_delta,XGB,validation
0.10143876075744629,0.16828679314731027,0.7232387661933899,ad_lstm_wl_delta,XGB,test-interpolation
0.2728363573551178,0.3535940810339807,-0.4027578830718994,ad_lstm_wl_delta,XGB,test-extrapolation
0.04513600468635559,0.07595134870794198,0.9413905739784241,ad_lstm_wl_delta,MLP,train
0.04554842412471771,0.09339619971689272,0.9021895527839661,ad_lstm_wl_delta,MLP,validation
0.09306953847408295,0.15352474845585468,0.76966392993927,ad_lstm_wl_delta,MLP,test-interpolation
0.18215884268283844,0.24330717111626932,0.33582496643066406,ad_lstm_wl_delta,MLP,test-extrapolation
